Loading checkpoint shards:   0%|          | 0/3 [00:00<?, ?it/s]Loading checkpoint shards:  33%|███▎      | 1/3 [00:00<00:01,  1.56it/s]Loading checkpoint shards:  67%|██████▋   | 2/3 [00:01<00:00,  1.59it/s]Loading checkpoint shards: 100%|██████████| 3/3 [00:01<00:00,  2.34it/s]
{"update": 68, "examples_seen": 544, "supervised_tokens": 1371, "loss": 2.3604259695275687e-05, "gradient_norm": 0.0021917347330600023, "learning_rate": 0.0001, "seconds": 3.238802504999967, "elapsed_training_seconds": 211.06994644400015}
{"update": 69, "examples_seen": 552, "supervised_tokens": 1477, "loss": 1.2913239174849878e-05, "gradient_norm": 0.0003114044957328588, "learning_rate": 0.0001, "seconds": 3.1250226870001825, "elapsed_training_seconds": 214.19677214400008}
{"update": 70, "examples_seen": 560, "supervised_tokens": 1317, "loss": 8.967797953118861e-06, "gradient_norm": 0.00020552551723085344, "learning_rate": 0.0001, "seconds": 2.815929783999991, "elapsed_training_seconds": 217.014293425}
{"update": 71, "examples_seen": 568, "supervised_tokens": 1504, "loss": 0.0004929954401404757, "gradient_norm": 0.11628584563732147, "learning_rate": 0.0001, "seconds": 3.2193853000001127, "elapsed_training_seconds": 220.2351596110002}
{"update": 72, "examples_seen": 576, "supervised_tokens": 1264, "loss": 5.972734584247519e-06, "gradient_norm": 7.978849316714332e-05, "learning_rate": 0.0001, "seconds": 2.8291675400000713, "elapsed_training_seconds": 223.06575259700003}
{"update": 73, "examples_seen": 584, "supervised_tokens": 1234, "loss": 6.006991725371336e-06, "gradient_norm": 0.00014067751180846244, "learning_rate": 0.0001, "seconds": 2.8926724139998896, "elapsed_training_seconds": 225.96196945600013}
{"update": 74, "examples_seen": 592, "supervised_tokens": 1519, "loss": 8.493829341205128e-06, "gradient_norm": 0.0001691598881734535, "learning_rate": 0.0001, "seconds": 3.1155010789998414, "elapsed_training_seconds": 229.0787494860001}
{"update": 75, "examples_seen": 600, "supervised_tokens": 1541, "loss": 1.0083914958158857e-05, "gradient_norm": 0.00028624353581108153, "learning_rate": 0.0001, "seconds": 3.075085448999971, "elapsed_training_seconds": 232.1553074410001}
{"update": 76, "examples_seen": 608, "supervised_tokens": 1438, "loss": 6.378595230671635e-06, "gradient_norm": 0.00013174550258554518, "learning_rate": 0.0001, "seconds": 3.209073424000053, "elapsed_training_seconds": 235.36576676800019}
{"update": 77, "examples_seen": 616, "supervised_tokens": 1547, "loss": 3.693954414529799e-05, "gradient_norm": 0.008862500078976154, "learning_rate": 0.0001, "seconds": 3.0940079429999514, "elapsed_training_seconds": 238.46133788800012}
{"update": 78, "examples_seen": 624, "supervised_tokens": 1592, "loss": 0.0032286973528243834, "gradient_norm": 0.06610193848609924, "learning_rate": 0.0001, "seconds": 3.0822653319999063, "elapsed_training_seconds": 241.54584897400014}
{"update": 79, "examples_seen": 632, "supervised_tokens": 1312, "loss": 1.7725614384289656e-05, "gradient_norm": 0.0007071400759741664, "learning_rate": 0.0001, "seconds": 3.1952257239997834, "elapsed_training_seconds": 244.74273844800018}
{"update": 80, "examples_seen": 640, "supervised_tokens": 1546, "loss": 0.00030498916453325364, "gradient_norm": 0.034667063504457474, "learning_rate": 0.0001, "seconds": 3.076096966000023, "elapsed_training_seconds": 247.820570525}
{"update": 81, "examples_seen": 648, "supervised_tokens": 1438, "loss": 7.87820569030373e-05, "gradient_norm": 0.006422251928597689, "learning_rate": 0.0001, "seconds": 3.046464066999988, "elapsed_training_seconds": 250.8688636060001}
{"update": 82, "examples_seen": 656, "supervised_tokens": 1327, "loss": 2.5476823395820247e-05, "gradient_norm": 0.004371990915387869, "learning_rate": 0.0001, "seconds": 2.9645256549999885, "elapsed_training_seconds": 253.8351927650001}
{"update": 83, "examples_seen": 664, "supervised_tokens": 1597, "loss": 7.232752295749378e-06, "gradient_norm": 0.00010115314944414422, "learning_rate": 0.0001, "seconds": 3.0964902150001308, "elapsed_training_seconds": 256.93310414300004}
{"update": 84, "examples_seen": 672, "supervised_tokens": 1500, "loss": 1.1600798586641758e-05, "gradient_norm": 0.00048242518096230924, "learning_rate": 0.0001, "seconds": 3.191894689000037, "elapsed_training_seconds": 260.126403686}
{"update": 85, "examples_seen": 680, "supervised_tokens": 1473, "loss": 0.00029753737305782124, "gradient_norm": 0.0428839735686779, "learning_rate": 0.0001, "seconds": 3.115893690000121, "elapsed_training_seconds": 263.24374592000004}
{"update": 86, "examples_seen": 688, "supervised_tokens": 1699, "loss": 1.4746537090104539e-05, "gradient_norm": 0.00043508887756615877, "learning_rate": 0.0001, "seconds": 3.153120761000082, "elapsed_training_seconds": 266.3986365820001}
{"update": 87, "examples_seen": 696, "supervised_tokens": 1651, "loss": 3.497002990116016e-05, "gradient_norm": 0.0022946891840547323, "learning_rate": 0.0001, "seconds": 3.2630437430000256, "elapsed_training_seconds": 269.66316974200004}
{"update": 88, "examples_seen": 704, "supervised_tokens": 1541, "loss": 1.0929947393378825e-05, "gradient_norm": 0.0008357343031093478, "learning_rate": 0.0001, "seconds": 3.1218759930000033, "elapsed_training_seconds": 272.78651804900005}
{"update": 89, "examples_seen": 712, "supervised_tokens": 1587, "loss": 4.853440827901068e-06, "gradient_norm": 6.453766400227323e-05, "learning_rate": 0.0001, "seconds": 3.1042860620000283, "elapsed_training_seconds": 275.8922028840002}
{"update": 90, "examples_seen": 720, "supervised_tokens": 1554, "loss": 8.740001817386656e-06, "gradient_norm": 0.00016044534277170897, "learning_rate": 0.0001, "seconds": 3.236675740999999, "elapsed_training_seconds": 279.13032667000016}
{"update": 91, "examples_seen": 728, "supervised_tokens": 1512, "loss": 6.756563834642293e-06, "gradient_norm": 0.00010327252675779164, "learning_rate": 0.0001, "seconds": 3.101636937999956, "elapsed_training_seconds": 282.23379583200017}
{"update": 92, "examples_seen": 736, "supervised_tokens": 1395, "loss": 1.6380194210796617e-05, "gradient_norm": 0.0011273465352132916, "learning_rate": 0.0001, "seconds": 3.098457131000032, "elapsed_training_seconds": 285.3336721180001}
{"update": 93, "examples_seen": 744, "supervised_tokens": 1516, "loss": 1.6425354147031612e-05, "gradient_norm": 0.0005099160480313003, "learning_rate": 0.0001, "seconds": 3.2437632010000925, "elapsed_training_seconds": 288.57886157300004}
{"update": 94, "examples_seen": 752, "supervised_tokens": 1478, "loss": 7.02750821801601e-06, "gradient_norm": 0.00011570721108000726, "learning_rate": 0.0001, "seconds": 3.0657070579998162, "elapsed_training_seconds": 291.6462252000001}
{"update": 95, "examples_seen": 760, "supervised_tokens": 1198, "loss": 1.6109556099763722e-05, "gradient_norm": 0.0004977759090252221, "learning_rate": 0.0001, "seconds": 3.1864169779998974, "elapsed_training_seconds": 294.8340809020001}
{"update": 96, "examples_seen": 768, "supervised_tokens": 1512, "loss": 7.680732437620463e-06, "gradient_norm": 0.00011331937275826931, "learning_rate": 0.0001, "seconds": 3.1016615480000382, "elapsed_training_seconds": 297.937271238}
